id,city_id/id,name,type
zip_co_150847,l10n_co_base_location.city_co_15368,150847,rural
zip_co_153220,l10n_co_base_location.city_co_15380,153220,urban
zip_co_153227,l10n_co_base_location.city_co_15380,153227,rural
zip_co_150860,l10n_co_base_location.city_co_15403,150860,urban
zip_co_150867,l10n_co_base_location.city_co_15403,150867,rural
zip_co_155001,l10n_co_base_location.city_co_15401,155001,urban
zip_co_155007,l10n_co_base_location.city_co_15401,155007,rural
zip_co_151840,l10n_co_base_location.city_co_15377,151840,urban
zip_co_151847,l10n_co_base_location.city_co_15377,151847,rural
zip_co_152840,l10n_co_base_location.city_co_15425,152840,urban
zip_co_152847,l10n_co_base_location.city_co_15425,152847,rural
zip_co_154820,l10n_co_base_location.city_co_15442,154820,urban
zip_co_154827,l10n_co_base_location.city_co_15442,154827,rural
zip_co_154828,l10n_co_base_location.city_co_15442,154828,rural
zip_co_152667,l10n_co_base_location.city_co_15455,152667,rural
zip_co_152660,l10n_co_base_location.city_co_15455,152660,urban
zip_co_152001,l10n_co_base_location.city_co_15464,152001,urban
zip_co_152007,l10n_co_base_location.city_co_15464,152007,rural
zip_co_152201,l10n_co_base_location.city_co_15466,152201,urban
zip_co_152207,l10n_co_base_location.city_co_15466,152207,rural
